Device: cuda
Loaded 46588 samples from cache
Channel weights: user=1.0, assistant=1.2
Normalization: l2
Embeddings shape: (46588, 9216)
Embedding dimension: 9216
Model parameters: 9,879,681

=== PHASE 1: PROBE (5 epochs) ===
Epoch 391/1000 — loss: 0.0012, val MAE: 0.0142
Epoch 392/1000 — loss: 0.0012, val MAE: 0.0121
Epoch 393/1000 — loss: 0.0011, val MAE: 0.0127
Epoch 394/1000 — loss: 0.0011, val MAE: 0.0127
Epoch 395/1000 — loss: 0.0012, val MAE: 0.0126
Epoch 396/1000 — loss: 0.0011, val MAE: 0.0130
Epoch 397/1000 — loss: 0.0010, val MAE: 0.0128
Epoch 398/1000 — loss: 0.0011, val MAE: 0.0133
Epoch 399/1000 — loss: 0.0012, val MAE: 0.0125
Epoch 400/1000 — loss: 0.0010, val MAE: 0.0131
Epoch 401/1000 — loss: 0.0016, val MAE: 0.0181
Epoch 402/1000 — loss: 0.0014, val MAE: 0.0133
Epoch 403/1000 — loss: 0.0012, val MAE: 0.0134
Epoch 404/1000 — loss: 0.0012, val MAE: 0.0128
Epoch 405/1000 — loss: 0.0010, val MAE: 0.0144
Epoch 406/1000 — loss: 0.0011, val MAE: 0.0123
Epoch 407/1000 — loss: 0.0010, val MAE: 0.0127
Epoch 408/1000 — loss: 0.0010, val MAE: 0.0120
Epoch 409/1000 — loss: 0.0011, val MAE: 0.0147
Epoch 410/1000 — loss: 0.0015, val MAE: 0.0146
Epoch 411/1000 — loss: 0.0013, val MAE: 0.0135
Epoch 412/1000 — loss: 0.0012, val MAE: 0.0129
Epoch 413/1000 — loss: 0.0010, val MAE: 0.0126
Epoch 414/1000 — loss: 0.0011, val MAE: 0.0132
Epoch 415/1000 — loss: 0.0011, val MAE: 0.0132
Epoch 416/1000 — loss: 0.0011, val MAE: 0.0123
Epoch 417/1000 — loss: 0.0012, val MAE: 0.0135
Epoch 418/1000 — loss: 0.0013, val MAE: 0.0141
Epoch 419/1000 — loss: 0.0011, val MAE: 0.0129
Epoch 420/1000 — loss: 0.0011, val MAE: 0.0121
Epoch 421/1000 — loss: 0.0010, val MAE: 0.0125
Epoch 422/1000 — loss: 0.0012, val MAE: 0.0125
Epoch 423/1000 — loss: 0.0011, val MAE: 0.0119
Epoch 424/1000 — loss: 0.0010, val MAE: 0.0120
Epoch 425/1000 — loss: 0.0010, val MAE: 0.0126
Epoch 426/1000 — loss: 0.0010, val MAE: 0.0121
